,father,mother,midparentHeight,childNum,female
106,72.5,63.5,70.53999999999999,1,1
107,72.5,63.5,70.53999999999999,2,1
108,72.5,63.5,70.53999999999999,3,1
109,72.0,62.0,69.48,1,1
110,72.5,62.0,69.73,1,0
111,72.5,62.0,69.73,2,0
112,72.5,62.0,69.73,3,0
113,72.5,62.0,69.73,4,1
114,72.5,62.0,69.73,5,1
115,72.5,62.0,69.73,6,1
116,72.0,62.0,69.48,1,0
117,72.0,62.0,69.48,2,0
118,72.0,62.0,69.48,3,0
119,72.0,62.0,69.48,4,1
120,72.0,62.0,69.48,5,1
121,72.0,62.0,69.48,1,0
122,72.0,62.0,69.48,2,0
123,72.0,62.0,69.48,3,0
124,72.0,62.0,69.48,4,0
125,72.0,62.0,69.48,5,1
126,72.0,61.0,68.94,1,1
127,71.0,69.0,72.76,1,0
128,71.0,69.0,72.76,2,0
129,71.0,69.0,72.76,3,0
130,71.0,69.0,72.76,4,0
131,71.0,69.0,72.76,5,1
132,71.0,67.0,71.68,1,0
133,71.0,67.0,71.68,2,0
134,71.0,67.0,71.68,3,0
135,71.0,67.0,71.68,4,1
136,71.0,66.0,71.14,1,0
137,71.0,66.0,71.14,2,1
138,71.0,66.0,71.14,3,1
139,71.0,66.0,71.14,4,1
140,71.0,66.0,71.14,1,0
141,71.0,66.0,71.14,2,0
142,71.0,66.0,71.14,3,0
143,71.0,66.0,71.14,4,1
144,71.0,66.0,71.14,5,1
145,71.0,66.0,71.14,6,1
146,71.0,66.0,71.14,1,0
147,71.0,66.0,71.14,2,1
148,71.0,66.0,71.14,1,0
149,71.0,66.0,71.14,2,0
150,71.0,66.0,71.14,3,0
151,71.0,66.0,71.14,4,0
152,71.0,66.0,71.14,5,1
153,71.7,65.5,71.22,1,0
154,71.0,65.5,70.87,1,0
155,71.0,65.5,70.87,2,0
156,71.0,65.5,70.87,3,0
157,71.0,65.5,70.87,4,0
158,71.0,65.5,70.87,5,1
159,71.0,65.5,70.87,6,1
160,71.5,65.5,71.12,1,0
161,71.5,65.5,71.12,2,1
162,71.5,65.0,70.85,1,0
163,71.5,65.0,70.85,2,0
164,71.0,65.0,70.6,1,0
165,71.0,65.0,70.6,2,0
166,71.0,65.0,70.6,3,1
167,71.0,64.0,70.06,1,1
168,71.0,64.0,70.06,2,1
169,71.0,64.0,70.06,3,1
170,71.0,64.0,70.06,4,1
171,71.0,64.0,70.06,5,1
172,71.0,64.0,70.06,6,1
173,71.0,64.0,70.06,7,1
174,71.0,64.0,70.06,8,1
175,71.7,64.5,70.68,1,0
176,71.7,64.5,70.68,2,0
177,71.7,64.5,70.68,3,0
178,71.7,64.5,70.68,4,1
179,71.0,64.0,70.06,1,0
180,71.0,64.0,70.06,2,0
181,71.0,64.0,70.06,3,0
182,71.5,64.5,70.58000000000001,1,0
183,71.5,64.5,70.58000000000001,2,0
184,71.5,64.5,70.58000000000001,3,0
185,71.5,64.5,70.58000000000001,4,1
186,71.5,64.5,70.58000000000001,5,1
187,71.5,64.5,70.58000000000001,6,1
188,71.5,64.5,70.58000000000001,7,1
189,71.0,64.5,70.33000000000001,1,0
190,71.0,64.5,70.33000000000001,2,1
191,71.2,63.0,69.62,1,1
192,71.2,63.0,69.62,2,1
193,71.0,63.5,69.78999999999999,1,0
194,71.0,63.5,69.78999999999999,2,0
195,71.0,63.5,69.78999999999999,3,1
196,71.0,63.5,69.78999999999999,4,1
197,71.0,63.5,69.78999999999999,5,1
198,71.0,63.0,69.52000000000001,1,0
199,71.0,63.0,69.52000000000001,2,0
200,71.0,63.0,69.52000000000001,3,0
201,71.0,63.0,69.52000000000001,4,0
202,71.0,63.0,69.52000000000001,5,1
203,71.0,63.0,69.52000000000001,6,1
204,71.0,63.0,69.52000000000001,7,1
205,71.0,63.0,69.52000000000001,8,1
206,71.0,63.0,69.52000000000001,9,1
207,71.0,63.0,69.52000000000001,1,0
208,71.0,63.0,69.52000000000001,2,0
209,71.0,63.0,69.52000000000001,3,0
210,71.0,63.0,69.52000000000001,4,1
211,71.0,62.0,68.98,1,0
212,71.0,62.0,68.98,2,0
213,71.0,62.0,68.98,3,1
214,71.0,62.0,68.98,4,1
215,71.0,62.0,68.98,5,1
216,71.0,62.0,68.98,1,0
217,71.0,62.0,68.98,2,0
218,71.0,62.0,68.98,3,0
219,71.0,62.0,68.98,4,1
220,71.0,62.0,68.98,5,1
221,71.0,62.5,69.25,1,0
222,71.0,62.5,69.25,2,1
223,71.0,62.5,69.25,3,1
224,71.0,62.5,69.25,4,1
225,71.0,62.5,69.25,5,1
226,71.0,62.0,68.98,1,0
227,71.0,62.0,68.98,2,0
228,71.0,62.0,68.98,3,0
229,71.0,62.0,68.98,4,0
230,71.0,62.0,68.98,5,0
231,71.0,62.0,68.98,6,1
232,71.0,62.0,68.98,7,1
233,71.0,61.0,68.44,1,1
234,71.0,58.0,66.82,1,0
235,71.0,58.0,66.82,2,0
236,70.0,69.0,72.26,1,0
237,70.0,69.0,72.26,2,0
238,70.0,69.0,72.26,3,0
239,70.0,69.0,72.26,4,1
240,70.0,69.0,72.26,1,0
241,70.0,69.0,72.26,2,0
242,70.0,69.0,72.26,3,1
243,70.0,69.0,72.26,4,1
244,70.0,69.0,72.26,5,1
245,70.0,69.0,72.26,6,1
246,70.0,68.0,71.72,1,0
247,70.0,67.0,71.18,1,0
248,70.0,67.0,71.18,2,0
249,70.0,67.0,71.18,3,1
250,70.0,67.0,71.18,4,1
251,70.0,67.0,71.18,5,1
252,70.0,67.0,71.18,1,1
253,70.0,66.5,70.91,1,0
254,70.0,66.5,70.91,2,0
255,70.0,66.5,70.91,3,0
256,70.0,66.5,70.91,4,0
257,70.0,66.5,70.91,5,1
258,70.0,66.5,70.91,6,1
259,70.0,66.5,70.91,7,1
260,70.0,66.5,70.91,8,1
261,70.0,66.5,70.91,9,1
262,70.0,66.5,70.91,10,1
263,70.0,66.5,70.91,11,1
264,70.5,65.0,70.35,1,0
265,70.5,65.0,70.35,2,0
266,70.5,65.0,70.35,3,0
267,70.5,65.0,70.35,4,0
268,70.5,65.0,70.35,1,1
269,70.5,65.0,70.35,2,1
270,70.5,65.0,70.35,3,1
271,70.5,65.0,70.35,4,1
272,70.5,65.0,70.35,5,1
273,70.0,65.0,70.1,1,0
274,70.0,65.0,70.1,2,0
275,70.0,65.0,70.1,3,0
276,70.0,65.0,70.1,4,0
277,70.0,65.0,70.1,5,0
278,70.0,65.0,70.1,6,1
279,70.0,65.0,70.1,7,1
280,70.0,65.0,70.1,8,1
281,70.0,65.0,70.1,1,0
282,70.0,65.0,70.1,2,0
283,70.0,65.0,70.1,3,1
284,70.0,65.0,70.1,4,1
285,70.0,65.0,70.1,5,1
286,70.0,65.0,70.1,1,0
287,70.0,65.0,70.1,2,0
288,70.0,65.0,70.1,3,1
289,70.0,65.0,70.1,4,1
290,70.0,65.0,70.1,5,1
291,70.0,65.0,70.1,6,1
292,70.0,65.0,70.1,1,0
293,70.0,65.0,70.1,2,0
294,70.0,65.0,70.1,3,0
295,70.0,65.0,70.1,4,1
296,70.0,65.0,70.1,5,1
297,70.0,65.0,70.1,6,1
298,70.0,65.0,70.1,7,1
299,70.0,65.0,70.1,1,0
300,70.0,65.0,70.1,2,0
301,70.0,65.0,70.1,3,1
302,70.0,65.0,70.1,1,0
303,70.0,65.0,70.1,2,0
304,70.0,64.7,69.938,1,0
305,70.0,64.7,69.938,2,0
306,70.0,64.7,69.938,3,0
307,70.0,64.7,69.938,4,1
308,70.0,64.7,69.938,5,1
309,70.0,64.7,69.938,6,1
310,70.0,64.7,69.938,7,1
311,70.0,64.0,69.56,1,0
312,70.0,64.0,69.56,2,0
313,70.0,64.0,69.56,3,0
314,70.0,64.0,69.56,4,0
315,70.0,64.0,69.56,5,0
316,70.0,64.0,69.56,6,0
317,70.0,64.0,69.56,7,1
318,70.0,64.0,69.56,1,0
319,70.0,64.0,69.56,2,0
320,70.0,64.0,69.56,3,0
321,70.0,64.0,69.56,4,1
322,70.0,64.2,69.668,1,0
323,70.0,64.2,69.668,2,0
324,70.0,64.2,69.668,3,1
325,70.0,64.2,69.668,4,1
326,70.0,64.2,69.668,5,1
327,70.5,64.0,69.81,1,0
328,70.5,64.0,69.81,2,0
329,70.5,64.0,69.81,3,0
330,70.5,64.0,69.81,4,0
331,70.5,64.0,69.81,5,0
332,70.5,64.0,69.81,6,0
333,70.5,64.0,69.81,7,1
334,70.5,64.0,69.81,8,1
335,70.5,64.5,70.08000000000001,1,1
336,70.0,64.0,69.56,1,0
337,70.0,64.0,69.56,2,1
338,70.0,64.0,69.56,3,1
339,70.0,64.0,69.56,4,1
340,70.0,64.0,69.56,1,0
341,70.0,64.0,69.56,2,0
342,70.0,64.0,69.56,3,0
343,70.0,64.0,69.56,4,0
344,70.0,64.0,69.56,5,0
345,70.0,64.0,69.56,6,0
346,70.0,64.0,69.56,7,1
347,70.0,64.0,69.56,8,1
348,70.0,64.0,69.56,9,1
349,70.0,63.7,69.398,1,0
350,70.0,63.7,69.398,2,0
351,70.0,63.7,69.398,3,0
352,70.0,63.7,69.398,4,1
353,70.0,63.7,69.398,5,1
354,70.0,63.7,69.398,6,1
355,70.0,63.7,69.398,7,1
356,70.0,63.7,69.398,8,1
357,70.5,63.0,69.27000000000001,1,0
358,70.5,63.0,69.27000000000001,2,0
359,70.5,63.0,69.27000000000001,3,1
360,70.5,63.0,69.27000000000001,4,1
361,70.5,63.0,69.27000000000001,1,0
362,70.5,63.0,69.27000000000001,2,0
363,70.5,63.0,69.27000000000001,3,0
364,70.5,63.0,69.27000000000001,4,1
365,70.5,63.0,69.27000000000001,5,1
366,70.0,63.5,69.28999999999999,1,0
367,70.0,63.5,69.28999999999999,2,0
368,70.0,63.5,69.28999999999999,3,1
369,70.0,63.5,69.28999999999999,4,1
370,70.0,63.0,69.02000000000001,1,0
371,70.0,63.0,69.02000000000001,2,0
372,70.0,63.0,69.02000000000001,3,1
373,70.0,63.0,69.02000000000001,4,1
374,70.0,63.0,69.02000000000001,1,0
375,70.0,63.0,69.02000000000001,2,0
376,70.0,63.0,69.02000000000001,3,1
377,70.0,63.0,69.02000000000001,4,1
378,70.5,62.0,68.73,1,0
379,70.5,62.0,68.73,2,0
380,70.5,62.0,68.73,3,0
381,70.5,62.0,68.73,4,0
382,70.5,62.0,68.73,5,0
383,70.5,62.0,68.73,6,1
384,70.5,62.0,68.73,7,1
385,70.5,62.0,68.73,8,1
386,70.3,62.7,69.00800000000001,1,0
387,70.3,62.7,69.00800000000001,2,0
388,70.3,62.7,69.00800000000001,3,0
389,70.3,62.7,69.00800000000001,4,0
390,70.3,62.7,69.00800000000001,5,1
391,70.3,62.7,69.00800000000001,6,1
392,70.3,62.7,69.00800000000001,7,1
393,70.5,62.0,68.73,1,0
394,70.5,62.0,68.73,2,0
395,70.5,62.0,68.73,3,1
396,70.0,61.0,67.94,1,0
397,70.0,61.0,67.94,2,0
398,70.0,60.0,67.4,1,0
399,70.0,60.0,67.4,2,0
400,70.0,60.0,67.4,3,1
401,70.0,60.0,67.4,4,1
402,70.0,60.0,67.4,1,1
403,70.0,60.0,67.4,2,1
404,70.0,58.5,66.59,1,0
405,70.0,58.5,66.59,2,0
406,70.0,58.5,66.59,3,1
407,70.0,58.0,66.32,1,0
408,70.0,58.0,66.32,2,0
409,70.0,58.0,66.32,3,1
410,70.0,58.0,66.32,4,1
411,70.0,58.0,66.32,5,1
412,69.0,68.5,71.49000000000001,1,0
413,69.0,68.5,71.49000000000001,2,0
414,69.0,68.5,71.49000000000001,3,0
415,69.0,68.5,71.49000000000001,4,1
416,69.0,68.5,71.49000000000001,5,1
417,69.0,68.5,71.49000000000001,6,1
418,69.0,68.5,71.49000000000001,7,1
419,69.0,68.5,71.49000000000001,8,1
420,69.0,68.5,71.49000000000001,9,1
421,69.0,68.5,71.49000000000001,10,1
422,69.0,67.0,70.68,1,1
423,69.0,66.0,70.14,1,0
424,69.0,66.0,70.14,2,0
425,69.0,66.0,70.14,3,0
426,69.0,66.0,70.14,4,0
427,69.0,66.0,70.14,5,1
428,69.0,66.0,70.14,6,1
429,69.0,66.0,70.14,7,1
430,69.0,66.0,70.14,8,1
431,69.0,66.0,70.14,1,0
432,69.0,66.0,70.14,2,0
433,69.0,66.0,70.14,3,0
434,69.0,66.7,70.518,1,0
435,69.0,66.7,70.518,2,0
436,69.0,66.7,70.518,3,0
437,69.0,66.7,70.518,4,0
438,69.0,66.0,70.14,1,0
439,69.0,66.0,70.14,2,0
440,69.0,66.0,70.14,3,0
441,69.0,66.0,70.14,4,1
442,69.0,66.0,70.14,5,1
443,69.0,66.0,70.14,6,1
444,69.0,66.5,70.41,1,0
445,69.0,66.5,70.41,2,0
446,69.0,66.5,70.41,3,0
447,69.0,66.5,70.41,4,0
448,69.0,66.5,70.41,5,0
449,69.0,66.5,70.41,6,0
450,69.0,66.5,70.41,7,1
451,69.5,66.5,70.66,1,0
452,69.5,66.5,70.66,2,0
453,69.5,66.5,70.66,3,1
454,69.5,66.5,70.66,4,1
455,69.0,66.5,70.41,1,0
456,69.0,66.5,70.41,2,1
457,69.0,66.5,70.41,3,1
458,69.0,66.5,70.41,4,1
459,69.0,66.5,70.41,5,1
460,69.0,66.5,70.41,6,1
461,69.5,66.0,70.39,1,0
462,69.5,66.0,70.39,2,0
463,69.5,66.0,70.39,3,0
464,69.5,66.0,70.39,4,0
465,69.5,66.0,70.39,5,1
466,69.5,66.0,70.39,6,1
467,69.5,66.0,70.39,7,1
468,69.0,66.0,70.14,1,0
469,69.0,66.0,70.14,2,0
470,69.0,66.0,70.14,3,0
471,69.0,66.0,70.14,4,0
472,69.0,66.0,70.14,5,1
473,69.0,66.0,70.14,6,1
474,69.0,66.0,70.14,7,1
475,69.0,66.0,70.14,8,1
476,69.0,66.0,70.14,9,1
477,69.0,65.0,69.6,1,0
478,69.0,65.0,69.6,2,0
479,69.0,65.0,69.6,3,0
480,69.0,65.0,69.6,4,1
481,69.0,65.0,69.6,5,1
482,69.0,65.0,69.6,6,1
483,69.0,65.0,69.6,7,1
484,69.5,64.5,69.58000000000001,1,0
485,69.5,64.5,69.58000000000001,2,0
486,69.5,64.5,69.58000000000001,3,0
487,69.5,64.5,69.58000000000001,4,1
488,69.5,64.5,69.58000000000001,5,1
489,69.5,64.5,69.58000000000001,6,1
490,69.5,64.5,69.58000000000001,7,1
491,69.2,64.0,69.16,1,0
492,69.2,64.0,69.16,2,0
493,69.2,64.0,69.16,3,1
494,69.2,64.0,69.16,4,1
495,69.0,63.5,68.78999999999999,1,1
496,69.0,63.0,68.52000000000001,1,0
497,69.0,63.0,68.52000000000001,2,1
498,69.0,63.0,68.52000000000001,3,1
499,69.0,63.0,68.52000000000001,1,0
500,69.0,63.0,68.52000000000001,1,0
501,69.0,63.0,68.52000000000001,2,0
502,69.0,63.0,68.52000000000001,3,0
503,69.0,63.0,68.52000000000001,4,0
504,69.0,63.0,68.52000000000001,5,1
505,69.0,63.0,68.52000000000001,6,1
506,69.0,63.5,68.78999999999999,1,0
507,69.0,63.5,68.78999999999999,2,0
508,69.0,63.5,68.78999999999999,3,0
509,69.0,63.5,68.78999999999999,4,1
510,69.0,63.5,68.78999999999999,5,1
511,69.0,63.5,68.78999999999999,6,1
512,69.0,63.5,68.78999999999999,7,1
513,69.0,63.5,68.78999999999999,1,0
514,69.0,63.5,68.78999999999999,2,1
515,69.0,63.5,68.78999999999999,3,1
516,69.7,62.0,68.33000000000001,1,1
517,69.5,62.0,68.23,1,0
518,69.5,62.0,68.23,2,0
519,69.5,62.0,68.23,3,0
520,69.0,62.0,67.98,1,0
521,69.0,62.0,67.98,2,0
522,69.0,62.0,67.98,3,0
523,69.0,62.0,67.98,4,0
524,69.0,62.0,67.98,5,1
525,69.5,62.0,68.23,1,0
526,69.5,62.0,68.23,2,0
527,69.5,62.0,68.23,3,0
528,69.5,62.0,68.23,4,1
529,69.5,62.0,68.23,5,1
530,69.5,62.0,68.23,6,1
531,69.5,62.0,68.23,7,1
532,69.5,62.0,68.23,8,1
533,69.5,62.0,68.23,9,1
534,69.5,62.0,68.23,10,1
535,69.5,62.0,68.23,11,1
536,69.0,62.5,68.25,1,0
537,69.0,62.5,68.25,2,0
538,69.0,62.5,68.25,3,0
539,69.0,62.5,68.25,4,0
540,69.0,62.5,68.25,5,1
541,69.0,62.5,68.25,6,1
542,69.0,62.5,68.25,7,1
543,69.0,62.5,68.25,8,1
544,69.0,62.0,67.98,1,0
545,69.0,62.0,67.98,2,0
546,69.0,62.0,67.98,3,1
547,69.0,62.0,67.98,4,1
548,69.5,61.0,67.69,1,0
549,69.5,61.0,67.69,2,0
550,69.5,61.0,67.69,3,0
551,69.5,61.0,67.69,4,1
552,69.5,61.0,67.69,5,1
553,69.0,61.0,67.44,1,0
554,69.0,61.0,67.44,2,0
555,69.0,61.0,67.44,3,0
556,69.0,61.0,67.44,4,0
557,69.0,61.0,67.44,5,0
558,69.0,61.0,67.44,6,0
559,69.0,61.0,67.44,7,1
560,69.0,61.0,67.44,8,1
561,69.0,61.0,67.44,9,1
562,69.0,60.0,66.9,1,0
563,69.0,60.0,66.9,2,1
564,69.0,60.0,66.9,3,1
565,69.0,60.0,66.9,1,0
566,69.0,60.0,66.9,2,0
567,69.0,60.0,66.9,3,1
568,69.0,60.0,66.9,4,1
569,69.0,60.5,67.17,1,0
570,68.7,70.5,72.42,1,0
571,68.7,70.5,72.42,2,1
572,68.5,67.0,70.43,1,0
573,68.5,67.0,70.43,2,0
574,68.5,67.0,70.43,3,1
575,68.5,66.5,70.16,1,0
576,68.5,66.5,70.16,2,0
577,68.5,66.5,70.16,3,0
578,68.5,66.5,70.16,4,0
579,68.5,66.5,70.16,5,0
580,68.5,66.5,70.16,6,0
581,68.5,66.5,70.16,7,0
582,68.5,66.5,70.16,8,0
583,68.5,66.5,70.16,9,0
584,68.5,66.5,70.16,10,0
585,68.5,66.5,70.16,11,1
586,68.0,65.0,69.1,1,0
587,68.0,65.0,69.1,2,0
588,68.0,65.5,69.37,1,0
589,68.0,65.5,69.37,2,1
590,68.0,65.5,69.37,1,0
591,68.0,65.5,69.37,2,0
592,68.0,65.5,69.37,3,0
593,68.0,65.5,69.37,4,0
594,68.0,65.5,69.37,5,1
595,68.0,65.5,69.37,6,1
596,68.0,65.5,69.37,7,1
597,68.0,65.0,69.1,1,0
598,68.0,65.0,69.1,2,0
599,68.0,65.0,69.1,3,1
600,68.0,65.0,69.1,4,1
601,68.5,65.0,69.35,1,0
602,68.5,65.0,69.35,2,0
603,68.5,65.0,69.35,3,0
604,68.5,65.0,69.35,4,0
605,68.5,65.0,69.35,5,1
606,68.5,65.0,69.35,6,1
607,68.5,65.0,69.35,7,1
608,68.5,65.0,69.35,8,1
609,68.5,65.0,69.35,1,0
610,68.5,65.0,69.35,2,0
611,68.5,65.0,69.35,3,0
612,68.5,65.0,69.35,4,0
613,68.5,65.0,69.35,5,0
614,68.5,65.0,69.35,6,1
615,68.5,65.0,69.35,7,1
616,68.5,65.0,69.35,8,1
617,68.0,64.0,68.56,1,0
618,68.0,64.0,68.56,2,0
619,68.0,64.0,68.56,3,0
620,68.0,64.0,68.56,4,0
621,68.0,64.0,68.56,5,1
622,68.0,64.0,68.56,6,1
623,68.0,64.0,68.56,7,1
624,68.0,64.0,68.56,8,1
625,68.0,64.0,68.56,9,1
626,68.0,64.0,68.56,10,1
627,68.0,64.0,68.56,1,0
628,68.0,64.0,68.56,2,0
629,68.0,64.0,68.56,3,1
630,68.0,64.0,68.56,4,1
631,68.0,64.0,68.56,1,0
632,68.0,64.0,68.56,2,0
633,68.0,64.0,68.56,3,0
634,68.0,64.0,68.56,4,0
635,68.0,64.0,68.56,5,1
636,68.0,64.5,68.83000000000001,1,1
637,68.0,64.0,68.56,1,0
638,68.0,64.0,68.56,2,0
639,68.0,64.0,68.56,3,0
640,68.0,64.0,68.56,4,1
641,68.0,64.0,68.56,5,1
642,68.0,64.0,68.56,6,1
643,68.0,64.0,68.56,7,1
644,68.0,64.0,68.56,8,1
645,68.0,64.0,68.56,9,1
646,68.0,64.0,68.56,10,1
647,68.0,63.0,68.02000000000001,1,0
648,68.0,63.0,68.02000000000001,2,0
649,68.0,63.0,68.02000000000001,3,0
650,68.0,63.0,68.02000000000001,4,0
651,68.0,63.0,68.02000000000001,5,0
652,68.0,63.0,68.02000000000001,6,1
653,68.0,63.0,68.02000000000001,7,1
654,68.0,63.0,68.02000000000001,8,1
655,68.5,63.5,68.53999999999999,1,0
656,68.5,63.5,68.53999999999999,2,0
657,68.5,63.5,68.53999999999999,3,0
658,68.5,63.5,68.53999999999999,4,1
659,68.0,63.0,68.02000000000001,1,0
660,68.0,63.0,68.02000000000001,1,0
661,68.0,63.0,68.02000000000001,2,0
662,68.0,63.0,68.02000000000001,3,1
663,68.0,63.0,68.02000000000001,4,1
664,68.0,63.0,68.02000000000001,1,0
665,68.0,63.0,68.02000000000001,2,0
666,68.0,63.0,68.02000000000001,3,0
667,68.0,63.0,68.02000000000001,4,0
668,68.0,63.0,68.02000000000001,5,0
669,68.0,63.0,68.02000000000001,6,1
670,68.0,63.0,68.02000000000001,7,1
671,68.0,63.0,68.02000000000001,8,1
672,68.0,63.0,68.02000000000001,1,0
673,68.0,63.0,68.02000000000001,2,0
674,68.0,63.0,68.02000000000001,3,0
675,68.0,63.0,68.02000000000001,4,1
676,68.0,63.0,68.02000000000001,5,1
677,68.0,63.0,68.02000000000001,6,1
678,68.5,63.5,68.53999999999999,1,0
679,68.0,63.0,68.02000000000001,1,0
680,68.2,63.5,68.39,1,0
681,68.2,63.5,68.39,2,0
682,68.2,63.5,68.39,3,0
683,68.2,63.5,68.39,4,0
684,68.2,63.5,68.39,5,1
685,68.0,62.5,67.75,1,0
686,68.7,62.0,67.83000000000001,1,0
687,68.7,62.0,67.83000000000001,2,1
688,68.0,62.5,67.75,1,0
689,68.0,61.0,66.94,1,0
690,68.0,61.0,66.94,2,0
691,68.0,61.0,66.94,3,0
692,68.0,61.0,66.94,4,1
693,68.0,61.0,66.94,5,1
694,68.0,60.2,66.50800000000001,1,0
695,68.0,60.0,66.4,1,0
696,68.0,60.0,66.4,2,1
697,68.0,60.0,66.4,3,1
698,68.0,60.0,66.4,4,1
699,68.0,60.0,66.4,5,1
700,68.0,60.0,66.4,6,1
701,68.0,60.0,66.4,7,1
702,68.0,60.0,66.4,1,0
703,68.0,60.0,66.4,2,0
704,68.0,60.0,66.4,3,0
705,68.0,60.0,66.4,4,1
706,68.5,59.0,66.11,1,0
707,68.0,59.0,65.86,1,0
708,68.0,59.0,65.86,2,0
709,68.0,59.0,65.86,3,0
710,68.0,59.0,65.86,4,0
711,68.0,59.0,65.86,5,0
712,68.0,59.0,65.86,6,0
713,68.0,59.0,65.86,7,1
714,68.0,59.0,65.86,8,1
715,68.0,59.0,65.86,9,1
716,68.0,59.0,65.86,10,1
717,67.0,66.2,69.248,1,0
718,67.0,66.2,69.248,2,0
719,67.0,66.2,69.248,3,0
720,67.0,66.2,69.248,4,1
721,67.0,66.2,69.248,5,1
722,67.0,66.5,69.41,1,0
723,67.0,66.0,69.14,1,0
724,67.0,66.0,69.14,2,0
725,67.0,66.0,69.14,3,0
726,67.0,66.0,69.14,4,0
727,67.0,66.0,69.14,5,0
728,67.0,66.0,69.14,6,1
729,67.0,66.0,69.14,7,1
730,67.0,66.0,69.14,8,1
731,67.0,65.0,68.6,1,0
732,67.0,65.0,68.6,2,0
733,67.0,65.0,68.6,3,1
734,67.0,65.0,68.6,4,1
735,67.0,65.0,68.6,5,1
736,67.0,65.0,68.6,6,1
737,67.0,65.5,68.87,1,0
738,67.0,65.5,68.87,2,0
